Name,X-Coordinate,Y-Coordinate,Tag,공원녹지OX,Rain Gage,Outlet,Area (ha),Area(m^2),Total Area,Width (m),Flow Length (m),Slope (%),평균 Slope,Imperv. (%)
SN01465,179302.172,551916.7,주차장,FALSE,huff_2yr,S01366TTFT,0.09,900,,30,30,0.753,,100
SN01466,179332.172,551916.7,주차장,FALSE,huff_2yr,SD01367,0.09,900,,30,30,0.766,,100
SN01467,179354.438,551916.5,주차장,FALSE,huff_2yr,S01368TTTT,0.039191,391.91,,19.797,19.796,0.766,,100
SN01565,179303.3,551894.7,주차장,FALSE,huff_2yr,SN01466,0.04137,413.7,,20.34,20.339,0.766,,100
SN01566,179332.953,551891.6,주차장,FALSE,huff_2yr,SD01467,0.060062,600.62,,24.507,24.508,0.766,,100
SN01567,179355.078,551888.9,주차장,FALSE,huff_2yr,SD01468,0.038149,381.49,,19.532,19.532,0.766,,100
SN01643,178649.969,551855.9,주차장,FALSE,huff_2yr,SD01544,0.031726,317.26,,17.812,17.812,0.787,,100
SN01644,178672.172,551856.7,주차장,FALSE,huff_2yr,S01545TTTT,0.09,900,,30,30,0.815,,100
SN01744,178672.422,551830.938,주차장,FALSE,huff_2yr,S01645TFTT,0.031865,318.65,,17.851,17.851,0.815,,100
SN02164,179272.172,551706.7,주차장,FALSE,huff_2yr,S02065TTTT,0.09,900,,30,30,0.953,,100
SN02263,179243.281,551684,주차장,FALSE,huff_2yr,SD02264,0.045305,453.05,,21.285,21.285,0.953,,100
SN02264,179272.953,551680.7,주차장,FALSE,huff_2yr,SD02265,0.065532,655.32,,25.599,25.599,0.948,,100
SN03766,179335.2,551225.9,주차장,FALSE,huff_2yr,S03767TFFT,0.07123,712.3,,26.689,26.689,1.004,,100
SN03866,179332.344,551196.563,주차장,FALSE,huff_2yr,SN03867,0.088958,889.58,,29.826,29.826,1.004,,100
SN03867,179362.172,551196.7,주차장,FALSE,huff_2yr,SN03868,0.09,900,,30,30,1.004,,100
SN03868,179392.172,551196.7,주차장,FALSE,huff_2yr,S03869TFTT,0.09,900,,30,30,1.004,,100
SN03968,179392.172,551166.7,주차장,FALSE,huff_2yr,S03969TFTT,0.09,900,,30,30,1.004,,100
SN04249,178821.516,551069.4,녹지,TRUE,huff_2yr,SD04250,0.013855,138.55,,11.771,11.77,0.596,,0
SN04326,178138.984,551034.7,녹지,TRUE,huff_2yr,SN04426,0.01112,111.2,,10.545,10.545,2.331,,0
SN04327,178148.313,551036.2,녹지,TRUE,huff_2yr,SN04427,0.001847,18.47,,4.297,4.298,2.121,,0
SN04348,178806.172,551034.6,녹지,TRUE,huff_2yr,SD04448,0.00131,13.1,,3.619,3.62,0.538,,0
SN04349,178817.578,551045.7,녹지,TRUE,huff_2yr,SD04350,0.030844,308.44,,17.562,17.563,0.599,,0
SN04425,178116.281,551013.563,녹지,TRUE,huff_2yr,SN04426,0.001882,18.82,,4.338,4.338,0.3,,0
SN04426,178132.453,551016.563,녹지,TRUE,huff_2yr,SN04526,0.085719,857.19,,29.278,29.278,0.3,,0
SN04427,178147.75,551026.6,녹지,TRUE,huff_2yr,SN04426,0.00132,13.2,,3.633,3.633,0.3,,0
SN04448,178802.172,551014.438,녹지,TRUE,huff_2yr,SD04548,0.022065,220.65,,14.854,14.855,0.51,,0
SN04526,178133.4,550987.8,녹지,TRUE,huff_2yr,SN04626,0.061842,618.42,,24.868,24.868,0.3,,0
SN04545,178709.641,550973.563,녹지,TRUE,huff_2yr,SD04646,0.006409,64.09,,8.005,8.006,0.51,,0
SN04546,178733.125,550977.2,녹지,TRUE,huff_2yr,SD04647,0.024384,243.84,,15.615,15.616,0.51,,0
SN04547,178762.516,550981.8,녹지,TRUE,huff_2yr,SD04648,0.028875,288.75,,16.993,16.992,0.51,,0
SN04548,178790.469,550985.25,녹지,TRUE,huff_2yr,SD04649,0.036251,362.51,,19.04,19.039,0.51,,0
SN04625,178116.047,550944.563,녹지,TRUE,huff_2yr,SN04725,0.001466,14.66,,3.829,3.829,0.3,,0
SN04626,178130.031,550956.063,녹지,TRUE,huff_2yr,SN04726,0.061186,611.86,,24.736,24.736,0.3,,0
SN04641,178589.219,550943.7,녹지,TRUE,huff_2yr,SD04742,0.007056,70.56,,8.4,8.4,0.51,,0
SN04642,178614.109,550946.75,녹지,TRUE,huff_2yr,SD04743,0.028889,288.89,,16.997,16.997,0.51,,0
SN04643,178642.359,550950.5,공원,TRUE,huff_2yr,SD04744,0.047761,477.61,,21.854,21.855,0.51,,15
SN04644,178674.281,550955.1,단독주택,FALSE,huff_2yr,SD04745,0.050444,504.44,,22.46,22.459,0.51,,90
SN04645,178705.547,550957.063,단독주택,FALSE,huff_2yr,SD04746,0.054143,541.43,,23.269,23.268,0.51,,90
SN04646,178736.328,550951.938,공원,TRUE,huff_2yr,SD04747,0.042672,426.72,,20.657,20.657,0.51,,15
SN04647,178762.1,550953.2,주차장,FALSE,huff_2yr,SD04748,0.068922,689.22,,26.253,26.253,0.51,,100
SN04648,178787.547,550951.75,주차장,FALSE,huff_2yr,S04749TFTT,0.028985,289.85,,17.025,17.025,0.51,,100
SN04725,178111.922,550923.5,녹지,TRUE,huff_2yr,SN04825,0.027766,277.66,,16.663,16.663,0.3,,0
SN04726,178127.078,550927.1,녹지,TRUE,huff_2yr,SN04826,0.059268,592.68,,24.345,24.345,0.3,,0
SN04737,178467.922,550915.063,커뮤니티시설,FALSE,huff_2yr,SD04838,0.012714,127.14,,11.276,11.275,0.51,,85
SN04738,178491.766,550917.7,커뮤니티시설,FALSE,huff_2yr,SD04839,0.022905,229.05,,15.134,15.135,0.51,,85
SN04739,178522.734,550924.938,녹지,TRUE,huff_2yr,SN04840,0.021848,218.48,,14.781,14.781,0.51,,0
SN04740,178553.422,550925.1,녹지,TRUE,huff_2yr,SD04841,0.036431,364.31,,19.087,19.087,0.51,,0
SN04741,178579.078,550927.4,녹지,TRUE,huff_2yr,SD04842,0.033315,333.15,,18.252,18.253,0.51,,0
SN04742,178612.188,550926.7,주차장,FALSE,huff_2yr,SD04843,0.089944,899.44,,29.991,29.99,0.51,,100
SN04743,178641.234,550926.6,단독주택,FALSE,huff_2yr,SD04844,0.08438,843.8,,29.048,29.048,0.51,,90
SN04744,178678.078,550926.8,단독주택,FALSE,huff_2yr,SD04845,0.050417,504.17,,22.454,22.453,0.51,,90
SN04745,178706.844,550926.8,단독주택,FALSE,huff_2yr,SD04846,0.050583,505.83,,22.491,22.49,0.51,,90
SN04746,178736.875,550932.1,단독주택,FALSE,huff_2yr,SD04847,0.038318,383.18,,19.575,19.575,0.51,,90
SN04747,178762.391,550930.5,주차장,FALSE,huff_2yr,SD04848,0.060791,607.91,,24.656,24.656,0.51,,100
SN04748,178787.8,550929.5,주차장,FALSE,huff_2yr,SD04849,0.030756,307.56,,17.537,17.538,0.51,,100
SN04825,178106.4,550895.3,녹지,TRUE,huff_2yr,SN04924,0.062974,629.74,,25.095,25.094,0.3,,0
SN04826,178125.375,550897.2,녹지,TRUE,huff_2yr,SN04925,0.049,490,,22.136,22.136,0.3,,0
SN04837,178468.234,550896.938,커뮤니티시설,FALSE,huff_2yr,SD04938,0.053624,536.24,,23.157,23.157,0.51,,85
SN04838,178488,550896.3,커뮤니티시설,FALSE,huff_2yr,SD04939,0.057364,573.64,,23.951,23.951,0.51,,85
SN04839,178522.688,550895.9,종교시설,FALSE,huff_2yr,SD04940,0.084713,847.13,,29.106,29.105,0.51,,80
SN04840,178552.172,550896.7,커뮤니티시설,FALSE,huff_2yr,SD04941,0.09,900,,30,30,0.51,,85
SN04841,178576.484,550896.25,커뮤니티시설,FALSE,huff_2yr,SD04942,0.055706,557.06,,23.602,23.602,0.51,,85
SN04842,178613.2,550895.8,단독주택,FALSE,huff_2yr,SD04943,0.05297,529.7,,23.015,23.015,0.51,,90
