Name,X-Coordinate,Y-Coordinate,Tag,Rain Gage,Outlet,Area (ha),Width (m),Flow Length (m),Slope (%),Imperv. (%),N Imperv,N Perv,Dstore Imperv (mm),Dstore Perv (mm),Zero Imperv (%),Subarea Routing,Percent Routed (%),Curb Length
S05822TTTT,178012.172,550596.7,공동주택,huff_2yr,SD05821,0.09,30,30,0.3,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05823FTTT,178041.063,550595.2,공동주택,huff_2yr,S05822TTTT,0.079409,28.18,28.179,0.3,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05824FTTF,178070.453,550594,공동주택,huff_2yr,SD05823,0.045172,21.254,21.253,0.3,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05826TFTT,178137.578,550594.75,공동주택,huff_2yr,S05827TTTT,0.054823,23.414,23.415,0.391,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05827TTTT,178162.172,550596.7,녹지,huff_2yr,S05828TTTT,0.09,30,30,0.391,0,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05828TTTT,178192.172,550596.7,주상복합,huff_2yr,S05829TTTT,0.09,30,30,0.391,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05829TTTT,178222.172,550596.7,주상복합,huff_2yr,S05830TTTT,0.09,30,30,0.391,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05830TTTT,178252.172,550596.7,주상복합,huff_2yr,S05831TTTT,0.09,30,30,0.391,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05831TTTT,178282.172,550596.7,주상복합,huff_2yr,S05832TTTT,0.09,30,30,0.391,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05832TTTT,178312.172,550596.7,주상복합,huff_2yr,S05933TTTT,0.09,30,30,0.391,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05833TTTT,178342.172,550596.7,주상복합,huff_2yr,S05934TTTT,0.09,30,30,0.365,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05834TTTT,178372.172,550596.7,주상복합,huff_2yr,SD05835,0.09,30,30,0.389,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05835TTTF,178398.5,550597.9,주상복합,huff_2yr,SD05836,0.066674,25.821,25.822,0.397,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05836FFTT,178436.578,550590.5,주상복합,huff_2yr,SD05837,0.025225,15.882,15.883,0.397,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05837FTTT,178462.141,550591.3,공동주택,huff_2yr,SD05838,0.042525,20.622,20.621,0.397,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05838FTTT,178492.875,550590,공동주택,huff_2yr,SD05839,0.049393,22.225,22.224,0.397,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05839FTTF,178523.609,550593.6,공동주택,huff_2yr,SN05840,0.069184,26.303,26.303,0.397,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05842FFTT,178612.172,550596.7,공동주택,huff_2yr,S05943TTTT,0.09,30,30,0.397,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05843FTTT,178642.172,550596.7,공원,huff_2yr,S05944TTTT,0.09,30,30,0.396,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05844FTTT,178672.172,550596.7,공원,huff_2yr,S05945TTTT,0.09,30,30,0.374,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05845FTTT,178702.172,550596.7,공원,huff_2yr,S05946TTTT,0.09,30,30,0.374,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05846FTTT,178732.172,550596.7,공원,huff_2yr,S05947TTTT,0.09,30,30,0.387,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05847TTTT,178762.172,550596.7,공원,huff_2yr,SD05948,0.09,30,30,0.408,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05848TTTT,178791.938,550596.9,공원,huff_2yr,SD05949,0.088478,29.745,29.746,0.413,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05849TTFF,178808.453,550605.7,공원,huff_2yr,S05950TTTT,0.003423,5.851,5.85,0.413,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05850TFTT,178853.8,550596.063,공원,huff_2yr,S05951TTTT,0.079813,28.251,28.251,0.413,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05851TTTT,178882.172,550596.7,공원,huff_2yr,S05952TTTT,0.09,30,30,0.413,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05852TTTT,178912.172,550596.7,공원,huff_2yr,S05953TTTT,0.09,30,30,0.413,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05853TTTT,178942.172,550596.7,공원,huff_2yr,S05854TTTT,0.09,30,30,0.413,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05854TTTT,178972.172,550596.7,공원,huff_2yr,S05955TTTT,0.09,30,30,0.416,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05855TTTT,179002.172,550596.7,공원,huff_2yr,S05956TTTT,0.09,30,30,0.399,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05856TTTT,179032.172,550596.7,주상복합,huff_2yr,S05957TTTT,0.09,30,30,0.384,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05857TTTT,179062.172,550596.7,주상복합,huff_2yr,SD05958,0.09,30,30,0.482,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05858TTTF,179083.4,550598.063,주상복합,huff_2yr,SD05959,0.036497,19.104,19.104,0.51,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05859TFTT,179125.734,550595.75,주상복합,huff_2yr,S05960TTTT,0.067847,26.047,26.048,0.51,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05860TTTT,179152.172,550596.7,공원,huff_2yr,S05961TTTT,0.09,30,30,0.51,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05861TTTT,179182.172,550596.7,공원,huff_2yr,S05962TTTT,0.09,30,30,0.51,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05862TTTT,179212.172,550596.7,공원,huff_2yr,S05963TTTT,0.09,30,30,0.51,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05863TTTT,179242.172,550596.7,공원,huff_2yr,S05964TTTT,0.09,30,30,0.55,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05864TTTT,179272.172,550596.7,공원,huff_2yr,S05865TTTT,0.09,30,30,0.621,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05865TTTT,179302.172,550596.7,공원,huff_2yr,S05866TTTT,0.09,30,30,0.621,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05866TTTT,179332.172,550596.7,공원,huff_2yr,S05867TTTT,0.09,30,30,0.621,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05867TTTT,179353.422,550597.7,공원,huff_2yr,OF21,0.036963,19.226,19.226,10.548,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05906TTTT,177542.047,550553.5,공원,huff_2yr,SD06007,0,0.005,0,1.634,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05913TTTT,177747.75,550560.1,녹지,huff_2yr,S06012TTTT,0.035661,18.884,18.884,0.3,0,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05914TTTF,177762.156,550567.75,공원,huff_2yr,SD06013,0.024223,15.564,15.563,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05915TFTT,177805.734,550566.25,공원,huff_2yr,SD05914,0.068447,26.162,26.163,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05916TTTT,177826.984,550569.2,근린생활시설,huff_2yr,SD05915,0.054444,23.333,23.333,0.3,90,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05920FFTT,177951.422,550566.7,근린생활시설,huff_2yr,SN05919,0.045661,21.368,21.369,0.3,90,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05921TTTT,177982.2,550566.7,공동주택,huff_2yr,SD05920,0.089831,29.972,29.972,0.3,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05922TTTT,178012.172,550566.7,공동주택,huff_2yr,SD05921,0.09,30,30,0.3,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05923TTTT,178042.172,550566.7,공동주택,huff_2yr,S05922TTTT,0.09,30,30,0.3,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05924TTTF,178066.266,550568.9,녹지,huff_2yr,S05923TTTT,0.051365,22.664,22.664,0.3,0,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05925FFTT,178113.9,550558.5,주상복합,huff_2yr,S05926TTTT,0.010067,10.034,10.033,0.391,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05926TTTT,178132.516,550566.4,주상복합,huff_2yr,S05927TTTT,0.087835,29.637,29.637,0.391,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05927TTTT,178162.172,550566.7,주상복합,huff_2yr,S05928TTTT,0.09,30,30,0.391,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05928TTTT,178192.172,550566.7,주상복합,huff_2yr,S05929TTTT,0.09,30,30,0.391,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05929TTTT,178222.172,550566.7,주상복합,huff_2yr,S05930TTTT,0.09,30,30,0.391,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05930TTTT,178252.172,550566.7,주상복합,huff_2yr,S05931TTTT,0.09,30,30,0.391,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05931TTTT,178282.172,550566.7,주상복합,huff_2yr,S05932TTTT,0.09,30,30,0.391,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05932TTTT,178312.172,550566.7,주상복합,huff_2yr,S05933TTTT,0.09,30,30,0.391,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05933TTTT,178342.172,550566.7,주상복합,huff_2yr,S05934TTTT,0.09,30,30,0.391,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05934TTTT,178372.172,550566.7,주상복합,huff_2yr,SD06035,0.09,30,30,0.391,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05935TTFF,178397.469,550567.1,공원,huff_2yr,S06036TTFT,0.043071,20.754,20.753,0.365,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05936FFTT,178432.344,550566.563,공원,huff_2yr,S05937FTTT,0.088917,29.819,29.819,0.389,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05937FTTT,178462.172,550566.7,공원,huff_2yr,S05938FTTT,0.09,30,30,0.395,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05938FTTT,178492.172,550566.7,공원,huff_2yr,S05939FTTT,0.09,30,30,0.397,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05939FTTT,178522.172,550566.7,공원,huff_2yr,S05940FTTT,0.09,30,30,0.397,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05940FTTT,178552.172,550566.7,공원,huff_2yr,S05941FTTT,0.09,30,30,0.397,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05941FTTT,178582.172,550566.7,공원,huff_2yr,S05942TTTT,0.09,30,30,0.397,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05942TTTT,178612.172,550566.7,공원,huff_2yr,S05943TTTT,0.09,30,30,0.397,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05943TTTT,178642.172,550566.7,공원,huff_2yr,S05944TTTT,0.09,30,30,0.397,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05944TTTT,178672.172,550566.7,공원,huff_2yr,S05945TTTT,0.09,30,30,0.397,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S05945TTTT,178702.172,550566.7,공원,huff_2yr,S05946TTTT,0.09,30,30,0.397,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
