Name,X-Coordinate,Y-Coordinate,Tag,Rain Gage,Outlet,Area (ha),Width (m),Flow Length (m),Slope (%),Imperv. (%),N Imperv,N Perv,Dstore Imperv (mm),Dstore Perv (mm),Zero Imperv (%),Subarea Routing,Percent Routed (%),Curb Length
S00137TTTT,178474.063,552296.2,공원,huff_2yr,S00238TTTT,0.006319,7.949,7.949,0.803,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00138TTTT,178491.7,552300.6,공원,huff_2yr,S00239TTTT,0.053188,23.063,23.062,3.338,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00139TTTT,178520.641,552297.563,공원,huff_2yr,S00140TTTT,0.034273,18.513,18.513,3.482,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00140TTTT,178548.234,552294.4,공원,huff_2yr,S00141TTTT,0.013288,11.527,11.528,3.482,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00141TTTT,178568.516,552292,공원,huff_2yr,S00241TTTT,0.000186,1.364,1.364,3.358,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00237TTTT,178470.328,552276.4,공원,huff_2yr,S00338TTTT,0.040643,20.16,20.16,1.707,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00238TTTT,178492.172,552276.7,공원,huff_2yr,S00339TTTT,0.09,30,30,3.482,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00239TTTT,178522.172,552276.7,공원,huff_2yr,S00240TTTT,0.09,30,30,3.482,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00240TTTT,178552.172,552276.7,공원,huff_2yr,S00241TTTT,0.09,30,30,2.242,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00241TTTT,178581.563,552275.438,공원,huff_2yr,S00242TTTT,0.082116,28.656,28.656,2.347,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00242TTTT,178611.313,552272,공원,huff_2yr,S00243TTTT,0.061317,24.762,24.763,2.236,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00243TTTT,178640.875,552268.563,공원,huff_2yr,S00244TTTT,0.040331,20.083,20.082,2.314,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00244TTTT,178669.469,552265.25,공원,huff_2yr,OF1,0.019346,13.909,13.909,2.039,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00245TTTT,178691.391,552262.7,공원,huff_2yr,OF1,0.001867,4.321,4.321,1.002,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00337TTTT,178472.844,552248.5,공원,huff_2yr,S00438TTTT,0.024746,15.731,15.731,2.414,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00338TTTT,178492.172,552246.7,공원,huff_2yr,S00439TTTT,0.09,30,30,2.779,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00339TTTT,178522.172,552246.7,공원,huff_2yr,S00340TTTT,0.09,30,30,2.098,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00340TTTT,178552.172,552246.7,공원,huff_2yr,SD00341,0.09,30,30,2.156,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00341TTTT,178579.656,552248.063,공원,huff_2yr,SD00342,0.072676,26.958,26.959,2.301,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00342TTFT,178613.344,552254.8,공원,huff_2yr,S00243TTTT,0.040614,20.153,20.153,2.056,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00343TTFT,178642.969,552251.7,공원,huff_2yr,S00244TTTT,0.059455,24.383,24.384,2.047,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00344TTFT,178672.781,552248.563,공원,huff_2yr,S00245TTTT,0.078297,27.982,27.981,1.947,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00345TTFT,178701.828,552246.2,공원,huff_2yr,S00245TTTT,0.086355,29.386,29.386,1.779,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00346TTTT,178731.391,552243,공원,huff_2yr,S00347TTTT,0.067375,25.957,25.956,1.555,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00347TTTT,178761.047,552239.563,공원,huff_2yr,S00348TTTT,0.046389,21.538,21.538,0.428,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00348TTTT,178790.109,552236.2,공원,huff_2yr,OF2,0.025404,15.939,15.938,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00349TTTT,178814.281,552233.4,공원,huff_2yr,OF2,0.005297,7.278,7.278,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00437TTTT,178473.1,552216,공원,huff_2yr,S00438TTTT,0.024346,15.603,15.603,2.409,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00438TTTT,178492.172,552216.7,공원,huff_2yr,S00439TTTT,0.09,30,30,2.143,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00439TTTT,178522.172,552216.7,공원,huff_2yr,S00440TTTT,0.09,30,30,1.937,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00440TTTT,178552.172,552216.7,공원,huff_2yr,SD00441,0.09,30,30,1.911,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00441TTTF,178575.063,552217.8,공원,huff_2yr,SD00342,0.0465,21.564,21.564,2.001,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00442FFTT,178615.453,552213.563,자족시설,huff_2yr,SD00343,0.056153,23.697,23.696,1.693,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00443FTTT,178641.313,552211.3,자족시설,huff_2yr,SD00344,0.057176,23.912,23.911,1.569,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00444FTTT,178670.844,552208.063,자족시설,huff_2yr,SD00345,0.03725,19.3,19.301,1.555,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00445FTTT,178701.984,552212.3,자족시설,huff_2yr,S00346TTTT,0.024601,15.685,15.684,1.435,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00446TTFT,178733.344,552225.938,공원,huff_2yr,S00347TTTT,0.027341,16.535,16.535,1.083,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00447TTFT,178763.234,552224.1,공원,huff_2yr,S00347TTTT,0.044823,21.171,21.172,0.953,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00448TTFT,178792.922,552221,공원,huff_2yr,S00348TTTT,0.063665,25.232,25.232,0.94,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00449TTFT,178822.609,552217.75,공원,huff_2yr,S00349TTTT,0.081529,28.553,28.554,0.848,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00450TTTT,178851.469,552214,공원,huff_2yr,S00451TTTT,0.073433,27.098,27.099,0.715,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00451TTTT,178881.172,552210.563,공원,huff_2yr,S00452TTTT,0.052447,22.901,22.902,0.514,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00452TTTT,178910.516,552207.1,공원,huff_2yr,S00453TTTT,0.031462,17.737,17.738,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00453TTTT,178937.172,552204,공원,huff_2yr,OF3,0.010476,10.235,10.235,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00537TTTT,178473.891,552184.063,녹지,huff_2yr,S00538TTFT,0.017531,13.24,13.241,2.056,0,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00538TTFT,178492.172,552186.7,공원,huff_2yr,S00539TTFT,0.09,30,30,1.765,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00539TTFT,178522.172,552186.7,공원,huff_2yr,S00540TTFT,0.09,30,30,1.743,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00540TTFT,178552.172,552186.7,공원,huff_2yr,SD00441,0.09,30,30,1.704,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00541TTTF,178572.375,552188.4,공원,huff_2yr,SD00442,0.025999,16.124,16.124,1.486,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00542TFTT,178612.953,552186.25,자족시설,huff_2yr,SD00443,0.085124,29.176,29.176,1.413,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00543TTTT,178642.172,552186.7,자족시설,huff_2yr,SD00444,0.09,30,30,1.435,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00544TTTT,178672.172,552186.7,자족시설,huff_2yr,SD00445,0.09,30,30,1.435,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00545TTTT,178702.172,552186.7,자족시설,huff_2yr,SD00446,0.09,30,30,1.193,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00546FTTT,178731.781,552186.063,자족시설,huff_2yr,SD00547,0.086038,29.332,29.332,0.849,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00547FTTF,178758.078,552183.75,자족시설,huff_2yr,SD00448,0.032924,18.145,18.145,0.966,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00548FTTT,178791.359,552181.1,자족시설,huff_2yr,SD00448,0.055941,23.652,23.652,0.937,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00549FTTT,178821.016,552178.2,자족시설,huff_2yr,SD00449,0.037854,19.456,19.456,0.837,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00550FTTT,178852.234,552184.063,자족시설,huff_2yr,S00450TTTT,0.030917,17.583,17.583,0.837,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00551TFFT,178882.75,552194.4,공원,huff_2yr,S00451TTTT,0.033203,18.222,18.221,0.751,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00552TTFT,178913.141,552193.438,공원,huff_2yr,S00452TTTT,0.049032,22.143,22.143,0.759,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00553TTFT,178942.875,552190.3,공원,huff_2yr,S00453TTTT,0.067874,26.053,26.052,0.773,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00554TTFT,178971.953,552185.7,공원,huff_2yr,S00555TTTT,0.075207,27.424,27.424,0.768,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00555TTTT,179001.281,552181.563,공원,huff_2yr,S00556TTTT,0.058505,24.188,24.188,0.764,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00556TTTT,179030.781,552178.1,공원,huff_2yr,S00557TTTT,0.03752,19.37,19.37,0.768,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00557TTTT,179059,552174.8,공원,huff_2yr,OF4,0.016534,12.858,12.859,0.765,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00558TTTT,179080.063,552172.4,공원,huff_2yr,OF4,0.00087,2.949,2.95,0.767,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00637TTTF,178471.219,552156.063,녹지,huff_2yr,SN00638,0.035459,18.83,18.831,1.97,0,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00641FFTT,178586.984,552156.3,자족시설,huff_2yr,S00642TTTT,0.021106,14.528,14.528,1.435,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00642TTTT,178612.172,552156.7,자족시설,huff_2yr,S00643TTTT,0.09,30,30,1.435,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00643TTTT,178642.172,552156.7,자족시설,huff_2yr,S00644TTTT,0.09,30,30,1.435,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00644TTTT,178672.172,552156.7,자족시설,huff_2yr,S00645TTTT,0.09,30,30,1.435,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00645TTTT,178702.172,552156.7,자족시설,huff_2yr,S00646TTTT,0.09,30,30,0.932,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00646TTTT,178732.172,552156.7,자족시설,huff_2yr,SD00547,0.09,30,30,0.933,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00647FFTT,178765.109,552156.6,자족시설,huff_2yr,SD00548,0.041615,20.4,20.4,0.873,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00648TTTT,178792.172,552156.7,자족시설,huff_2yr,SD00548,0.09,30,30,0.734,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00649TTTT,178822.172,552156.7,보행자전용도로,huff_2yr,SD00549,0.09,30,30,0.837,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00650TTTT,178852.172,552156.7,자족시설,huff_2yr,SD00550,0.09,30,30,0.799,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00651TTTF,178874.641,552157.563,자족시설,huff_2yr,SD00551,0.041271,20.315,20.316,0.749,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00652FTTT,178912.016,552153.2,자족시설,huff_2yr,SD00552,0.068113,26.098,26.099,0.76,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00653FTTT,178941.2,552150.3,자족시설,huff_2yr,SD00553,0.051048,22.594,22.594,0.77,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00654FTTT,178971,552147.8,자족시설,huff_2yr,SD00554,0.032139,17.927,17.928,0.768,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00655FTTF,179002.078,552158.438,자족시설,huff_2yr,S00555TTTT,0.02679,16.368,16.367,0.769,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00656TFFT,179034.859,552163.8,공원,huff_2yr,S00556TTTT,0.038676,19.666,19.666,0.768,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00657TTTT,179062.172,552156.7,공원,huff_2yr,S00557TTTT,0.09,30,30,0.765,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00658TTTT,179091.688,552155.9,공원,huff_2yr,S00558TTTT,0.084679,29.1,29.099,0.767,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00659TTTT,179121.359,552152.563,공원,huff_2yr,S00660TTTF,0.064562,25.409,25.409,0.723,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00660TTTF,179142.813,552150.8,공원,huff_2yr,J192,0.01868,13.667,13.668,0.723,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00661TTTT,179193.938,552142.2,공원,huff_2yr,J193,0.000452,2.126,2.126,0.697,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00662TTTT,179197.484,552141.75,공원,huff_2yr,J193,1.00E-05,0.317,0.315,0.491,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00737TTTF,178471.266,552126.938,녹지,huff_2yr,SN00738,0.035409,18.817,18.818,1.781,0,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00741TFTT,178591.359,552125.3,자족시설,huff_2yr,S00742TTTT,0.034049,18.452,18.453,1.435,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00742TTTT,178612.172,552126.7,자족시설,huff_2yr,S00743TTTT,0.09,30,30,1.435,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00743TTTT,178642.172,552126.7,자족시설,huff_2yr,S00744TTTT,0.09,30,30,1.435,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00744TTTT,178672.172,552126.7,자족시설,huff_2yr,S00745TTTT,0.09,30,30,1.193,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00745TTTT,178702.172,552126.7,자족시설,huff_2yr,SD00746,0.09,30,30,0.869,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00746TTTF,178731.281,552127.2,자족시설,huff_2yr,SD00647,0.084418,29.055,29.055,0.803,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00747TFTT,178768.938,552125.8,자족시설,huff_2yr,SD00647,0.048071,21.925,21.925,0.86,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00748TTTT,178792.172,552126.7,자족시설,huff_2yr,S00648TTTT,0.09,30,30,0.837,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00749TTTT,178822.172,552126.7,보행자전용도로,huff_2yr,S00650TTTT,0.09,30,30,0.837,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00750TTTT,178852.172,552126.7,자족시설,huff_2yr,S00650TTTT,0.09,30,30,0.739,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00751TTTF,178881.328,552126.7,자족시설,huff_2yr,SD00651,0.037377,19.333,19.333,0.748,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00752TTTT,178912.172,552126.7,자족시설,huff_2yr,SD00652,0.09,30,30,0.75,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00753TTTT,178942.172,552126.7,자족시설,huff_2yr,SD00653,0.09,30,30,0.769,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00754TTTT,178972.172,552126.7,자족시설,huff_2yr,SD00654,0.09,30,30,0.768,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00755TTTT,179002.125,552126.75,자족시설,huff_2yr,SD00655,0.089696,29.949,29.95,0.769,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00756TFTT,179037.828,552126.5,자족시설,huff_2yr,SD00656,0.028849,16.985,16.985,0.768,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00757TTTT,179062.172,552126.7,자족시설,huff_2yr,S00657TTTT,0.09,30,30,0.765,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00758TTTT,179092.172,552126.7,자족시설,huff_2yr,S00658TTTT,0.09,30,30,0.764,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00759TTTT,179121.266,552127.4,공원,huff_2yr,S00659TTTT,0.083881,28.962,28.962,0.723,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00760TTFF,179139.625,552136.938,공원,huff_2yr,SD00661,0.005239,7.238,7.238,0.723,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00761TFTT,179190.375,552123.938,공원,huff_2yr,SD00661,0.037028,19.243,19.242,0.723,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00762TTTT,179211.484,552125.063,공원,huff_2yr,S00662TTTT,0.079561,28.207,28.206,0.723,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00763TTTT,179241.2,552121.4,공원,huff_2yr,S00764TTTT,0.057378,23.954,23.953,0.697,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00764TTTT,179270.6,552117.75,공원,huff_2yr,S00765TTTT,0.035184,18.757,18.758,0.535,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00765TTTT,179297.9,552114.4,공원,huff_2yr,OF6,0.01299,11.397,11.398,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00766TTTT,179318.031,552111.9,공원,huff_2yr,OF6,8.10E-05,0.898,0.902,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00837TTTF,178471.813,552097,녹지,huff_2yr,SN00838,0.032114,17.92,17.921,1.435,0,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00841FFTT,178587.516,552089.7,자족시설,huff_2yr,SD00842,0.028528,16.89,16.89,1.435,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00842FTTF,178612.25,552094.8,자족시설,huff_2yr,SD00843,0.04502,21.218,21.218,1.435,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00843TFFT,178642.234,552100.9,자족시설,huff_2yr,SD00844,0.046234,21.502,21.502,1.298,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00844TTFT,178673.047,552102.3,자족시설,huff_2yr,SD00845,0.055891,23.641,23.642,0.873,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00845TTFT,178702.828,552099.063,자족시설,huff_2yr,SD00746,0.075329,27.446,27.446,0.941,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00846TTTF,178728.4,552097.5,자족시설,huff_2yr,SD00747,0.065884,25.668,25.668,0.957,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00847TFFT,178765.953,552096,자족시설,huff_2yr,S00748TTTT,0.066851,25.855,25.856,0.734,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00848TTTT,178792.172,552096.7,자족시설,huff_2yr,S00749TTTT,0.09,30,30,0.837,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00849TTTT,178822.172,552096.7,자족시설,huff_2yr,S00749TTTT,0.09,30,30,0.783,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00850TTTT,178851.859,552096.938,자족시설,huff_2yr,S00750TTTT,0.087992,29.663,29.664,0.733,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00851TFTT,178889.234,552096.1,자족시설,huff_2yr,S00752TTTT,0.039673,19.918,19.918,0.727,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00852TTTT,178912.172,552096.7,자족시설,huff_2yr,S00752TTTT,0.09,30,30,0.77,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00853TTTT,178942.172,552096.7,자족시설,huff_2yr,S00753TTTT,0.09,30,30,0.769,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00854TTTT,178972.172,552096.7,자족시설,huff_2yr,S00754TTTT,0.09,30,30,0.768,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00855TTTF,179000.078,552097.3,자족시설,huff_2yr,SD00755,0.076972,27.744,27.744,0.769,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00856TFTT,179040.172,552095.563,자족시설,huff_2yr,SD00756,0.041289,20.32,20.319,0.768,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00857TTTT,179062.172,552096.7,자족시설,huff_2yr,S00757TTTT,0.09,30,30,0.763,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00858TTTT,179092.172,552096.7,자족시설,huff_2yr,S00758TTTT,0.09,30,30,0.769,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00859TTTF,179115.344,552099.063,자족시설,huff_2yr,SD00759,0.045664,21.369,21.369,0.723,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00860FFFT,179166.6,552085,공원,huff_2yr,SD00761,0.000377,1.942,1.941,0.723,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00861TTTT,179184.234,552095.6,공원,huff_2yr,S00762TTTT,0.076309,27.624,27.624,0.723,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00862TTTT,179212.172,552096.7,공원,huff_2yr,S00763TTTT,0.09,30,30,0.723,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00863TTTT,179242.172,552096.7,공원,huff_2yr,S00764TTTT,0.09,30,30,0.723,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00864TTTT,179272.172,552096.7,공원,huff_2yr,S00764TTTT,0.09,30,30,0.723,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00865TTTT,179302.172,552096.7,공원,huff_2yr,S00765TTTT,0.09,30,30,0.697,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00866TTTT,179331.5,552095.25,공원,huff_2yr,S00766TTTT,0.080715,28.41,28.411,0.579,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00867TTTT,179359.953,552091.3,공원,huff_2yr,OF7,0.053453,23.12,23.12,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00868TTTT,179377.828,552082.8,공원,huff_2yr,OF7,0.000328,1.811,1.811,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00937TTTF,178473,552067.6,녹지,huff_2yr,SN00938,0.024787,15.744,15.744,1.435,0,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00941TFTT,178585.031,552066,자족시설,huff_2yr,S00942TTTT,0.072435,26.914,26.914,1.435,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00942TTTT,178612.172,552066.7,자족시설,huff_2yr,S00943TTTT,0.09,30,30,1.435,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00943TTTT,178642.172,552066.7,자족시설,huff_2yr,SD00944,0.09,30,30,1.096,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00944FTTT,178671.625,552065.3,자족시설,huff_2yr,SD00945,0.081556,28.558,28.558,0.826,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00945FTTT,178701.453,552062.3,자족시설,huff_2yr,SD00845,0.063332,25.166,25.166,0.776,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00946FTTT,178731.2,552059.938,자족시설,huff_2yr,SD00846,0.04646,21.555,21.554,0.882,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00947FTTF,178762.6,552064.6,자족시설,huff_2yr,S00848TTTT,0.043076,20.755,20.755,0.837,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00948TFFT,178792.2,552071.3,자족시설,huff_2yr,S00849TTTT,0.044896,21.189,21.188,0.837,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00949TTFT,178823.031,552072.438,자족시설,huff_2yr,S00849TTTT,0.055017,23.456,23.455,0.751,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00950TTFF,178849.766,552070.25,자족시설,huff_2yr,SD00851,0.058033,24.09,24.09,0.732,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00951TFTT,178887.781,552066,자족시설,huff_2yr,SD00851,0.05583,23.628,23.629,0.749,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00952TTTT,178912.172,552066.7,자족시설,huff_2yr,S00852TTTT,0.09,30,30,0.766,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00953TTTT,178942.172,552066.7,자족시설,huff_2yr,S00853TTTT,0.09,30,30,0.769,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00954TTTT,178972.172,552066.7,자족시설,huff_2yr,S00854TTTT,0.09,30,30,0.768,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00955TTTF,178996.891,552067.5,자족시설,huff_2yr,SD00855,0.057749,24.031,24.031,0.769,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00956TFTT,179037.078,552065.938,자족시설,huff_2yr,SD00856,0.060111,24.517,24.518,0.768,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00957TTTT,179062.172,552066.7,자족시설,huff_2yr,S00857TTTT,0.09,30,30,0.765,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00958TTTT,179091.578,552067.2,자족시설,huff_2yr,S00858TTTT,0.086027,29.33,29.331,0.763,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00959TTFF,179109.875,552076,자족시설,huff_2yr,SD00859,0.006911,8.313,8.313,0.723,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00960FFTT,179158.375,552059.7,자족시설,huff_2yr,SD00861,0.029506,17.177,17.178,0.723,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00961FTTT,179181.969,552060.938,자족시설,huff_2yr,S00862TTTT,0.042779,20.683,20.683,0.723,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00962TFFT,179212.156,552068.4,자족시설,huff_2yr,S00863TTTT,0.04175,20.433,20.433,0.723,85,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00963TTFT,179243.031,552073.563,공원,huff_2yr,S00864TTTT,0.046538,21.573,21.572,0.723,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00964TTFT,179272.953,552070.6,공원,huff_2yr,S00865TTTT,0.065977,25.686,25.686,0.723,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S00965TTFT,179302.625,552067.438,공원,huff_2yr,S00866TTTT,0.08528,29.203,29.202,0.723,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
